vowels,lyrics
<bos> i ai <eos>,<bos> い ない <eos>
<bos> ai itin <eos>,<bos> ない キッチン <eos>
<bos> itin aia <eos>,<bos> キッチン 靡か <eos>
<bos> aia ai <eos>,<bos> 靡か ない <eos>
<bos> ai aen <eos>,<bos> ない カーテン <eos>
<bos> aen ie <eos>,<bos> カーテン いえ <eos>
<bos> ie ai <eos>,<bos> いえ ない <eos>
<bos> ai ie <eos>,<bos> ない いえ <eos>
<bos> ie ai <eos>,<bos> いえ ない <eos>
<bos> ai a <eos>,<bos> ない な <eos>
<bos> a ioi <eos>,<bos> な 独り <eos>
<bos> ioi e <eos>,<bos> 独り で <eos>
<bos> e ii <eos>,<bos> で いい <eos>
<bos> ii a <eos>,<bos> いい や <eos>
<bos> a ane <eos>,<bos> や なんて <eos>
<bos> ane aao <eos>,<bos> なんて 話そ <eos>
<bos> aao u <eos>,<bos> 話そ う <eos>
<bos> u oe <eos>,<bos> う 声 <eos>
<bos> oe o <eos>,<bos> 声 を <eos>
<bos> o ai <eos>,<bos> を 出し <eos>
<bos> ai e <eos>,<bos> 出し て <eos>
<bos> e aaui <eos>,<bos> て 明るい <eos>
<bos> aaui iai <eos>,<bos> 明るい 未来 <eos>
<bos> iai iuie <eos>,<bos> 未来 について <eos>
<bos> iuie aiae <eos>,<bos> について 間違え <eos>
<bos> aiae e <eos>,<bos> 間違え て <eos>
<bos> e ooe <eos>,<bos> て 凍え <eos>
<bos> ooe e <eos>,<bos> 凍え て <eos>
<bos> e o <eos>,<bos> て も <eos>
<bos> o oa <eos>,<bos> も そば <eos>
<bos> oa i <eos>,<bos> そば に <eos>
<bos> i ieu <eos>,<bos> に いれる <eos>
<bos> ieu o <eos>,<bos> いれる よう <eos>
<bos> o i <eos>,<bos> よう に <eos>
<bos> i aat <eos>,<bos> に 笑っ <eos>
<bos> aat e <eos>,<bos> 笑っ て <eos>
<bos> e aat <eos>,<bos> て 笑っ <eos>
<bos> aat e <eos>,<bos> 笑っ て <eos>
<bos> e aat <eos>,<bos> て 笑っ <eos>
<bos> aat e <eos>,<bos> 笑っ て <eos>
<bos> e o <eos>,<bos> て そう <eos>
<bos> o at <eos>,<bos> そう やっ <eos>
<bos> at e <eos>,<bos> やっ て <eos>
<bos> e ito <eos>,<bos> て きっと <eos>
<bos> ito ao <eos>,<bos> きっと 魔法 <eos>
<bos> ao i <eos>,<bos> 魔法 に <eos>
<bos> i aat <eos>,<bos> に かかっ <eos>
<bos> aat a <eos>,<bos> かかっ た <eos>
<bos> a o <eos>,<bos> た よう <eos>
<bos> o i <eos>,<bos> よう に <eos>
<bos> i eai <eos>,<bos> に 世界 <eos>
<bos> eai a <eos>,<bos> 世界 は <eos>
<bos> a uui <eos>,<bos> は 作り <eos>
<bos> uui aat <eos>,<bos> 作り 変わっ <eos>
<bos> aat e <eos>,<bos> 変わっ て <eos>
<bos> e oo <eos>,<bos> て この <eos>
<bos> oo ea <eos>,<bos> この 部屋 <eos>
<bos> ea i <eos>,<bos> 部屋 に <eos>
<bos> i aioe <eos>,<bos> に 立ちこめ <eos>
<bos> aioe a <eos>,<bos> 立ちこめ た <eos>
<bos> a uue <eos>,<bos> た 救え <eos>
<bos> uue ai <eos>,<bos> 救え ない <eos>
<bos> ai uuu <eos>,<bos> ない 憂鬱 <eos>
<bos> uuu o <eos>,<bos> 憂鬱 を <eos>
<bos> a u <eos>,<bos> ら る <eos>
<bos> u a <eos>,<bos> る ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a i <eos>,<bos> ら り <eos>
<bos> i a <eos>,<bos> り ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a t <eos>,<bos> ら っ <eos>
<bos> t au <eos>,<bos> っ たる <eos>
<bos> au t <eos>,<bos> たる っ <eos>
<bos> t at <eos>,<bos> っ たっ <eos>
<bos> at au <eos>,<bos> たっ たる <eos>
<bos> au ai <eos>,<bos> たる らい <eos>
<bos> ai a <eos>,<bos> らい ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a u <eos>,<bos> ら る <eos>
<bos> u a <eos>,<bos> る ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a i <eos>,<bos> ら り <eos>
<bos> i a <eos>,<bos> り ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a t <eos>,<bos> ら っ <eos>
<bos> t au <eos>,<bos> っ たる <eos>
<bos> au t <eos>,<bos> たる っ <eos>
<bos> t at <eos>,<bos> っ たっ <eos>
<bos> at au <eos>,<bos> たっ たる <eos>
<bos> au ai <eos>,<bos> たる らい <eos>
<bos> ai a <eos>,<bos> らい ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a u <eos>,<bos> ら る <eos>
<bos> u a <eos>,<bos> る ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a i <eos>,<bos> ら り <eos>
<bos> i a <eos>,<bos> り ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a t <eos>,<bos> ら っ <eos>
<bos> t au <eos>,<bos> っ たる <eos>
<bos> au t <eos>,<bos> たる っ <eos>
<bos> t at <eos>,<bos> っ たっ <eos>
<bos> at au <eos>,<bos> たっ たる <eos>
<bos> au ai <eos>,<bos> たる らい <eos>
<bos> ai a <eos>,<bos> らい ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a u <eos>,<bos> ら る <eos>
<bos> u a <eos>,<bos> る ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a i <eos>,<bos> ら り <eos>
<bos> i a <eos>,<bos> り ら <eos>
<bos> a a <eos>,<bos> ら ら <eos>
<bos> a t <eos>,<bos> ら っ <eos>
<bos> t au <eos>,<bos> っ たる <eos>
<bos> au t <eos>,<bos> たる っ <eos>
<bos> t at <eos>,<bos> っ たっ <eos>
<bos> at au <eos>,<bos> たっ たる <eos>
<bos> au ai <eos>,<bos> たる らい <eos>
<bos> ai a <eos>,<bos> らい ら <eos>
<bos> a ata <eos>,<bos> ら 真っ赤 <eos>
<bos> ata a <eos>,<bos> 真っ赤 な <eos>
<bos> a ino <eos>,<bos> な 林檎 <eos>
<bos> ino i <eos>,<bos> 林檎 に <eos>
<bos> i iaa <eos>,<bos> に 小さな <eos>
<bos> iaa anu <eos>,<bos> 小さな ランプ <eos>
<bos> anu aai <eos>,<bos> ランプ 灯り <eos>
<bos> aai a <eos>,<bos> 灯り が <eos>
<bos> a aion <eos>,<bos> が 射し込ん <eos>
<bos> aion a <eos>,<bos> 射し込ん だ <eos>
<bos> a oa <eos>,<bos> だ ソファ <eos>
<bos> oa o <eos>,<bos> ソファ の <eos>
<bos> o ue <eos>,<bos> の 上 <eos>
<bos> ue e <eos>,<bos> 上 で <eos>
<bos> e aaa <eos>,<bos> で あなた <eos>
<bos> aaa a <eos>,<bos> あなた は <eos>
<bos> a iuo <eos>,<bos> は いつも <eos>
<bos> iuo o <eos>,<bos> いつも の <eos>
<bos> o o <eos>,<bos> の よう <eos>
<bos> o i <eos>,<bos> よう に <eos>
<bos> i eut <eos>,<bos> に 眠っ <eos>
<bos> eut e <eos>,<bos> 眠っ て <eos>
<bos> e aai <eos>,<bos> て あたし <eos>
<bos> aai a <eos>,<bos> あたし は <eos>
<bos> a aai <eos>,<bos> は 鏡 <eos>
<bos> aai o <eos>,<bos> 鏡 の <eos>
<bos> o aa <eos>,<bos> の 中 <eos>
<bos> aa e <eos>,<bos> 中 で <eos>
<bos> e iaua <eos>,<bos> で ひたすら <eos>
<bos> iaua auu <eos>,<bos> ひたすら 悪夢 <eos>
<bos> auu a <eos>,<bos> 悪夢 が <eos>
<bos> a oou <eos>,<bos> が 遠のく <eos>
<bos> oou o <eos>,<bos> 遠のく よう <eos>
<bos> o i <eos>,<bos> よう に <eos>
<bos> i iot <eos>,<bos> に 祈っ <eos>
<bos> iot a <eos>,<bos> 祈っ た <eos>
<bos> a aaa <eos>,<bos> た あなた <eos>
<bos> aaa o <eos>,<bos> あなた の <eos>
<bos> o ioi <eos>,<bos> の 瞳 <eos>
<bos> ioi a <eos>,<bos> 瞳 は <eos>
<bos> a iu <eos>,<bos> は いつ <eos>
<bos> iu ate <eos>,<bos> いつ だって <eos>
<bos> ate iei <eos>,<bos> だって 綺麗 <eos>
<bos> iei e <eos>,<bos> 綺麗 で <eos>
<bos> e ooo <eos>,<bos> で 心 <eos>
<bos> ooo o <eos>,<bos> 心 の <eos>
<bos> o ou <eos>,<bos> の 奥 <eos>
<bos> ou ae <eos>,<bos> 奥 まで <eos>
<bos> ae iuau <eos>,<bos> まで 見透かす <eos>
<bos> iuau o <eos>,<bos> 見透かす よう <eos>
<bos> o a <eos>,<bos> よう だ <eos>
<bos> a oo <eos>,<bos> だ その <eos>
<bos> oo uio <eos>,<bos> その 水晶 <eos>
<bos> uio ai <eos>,<bos> 水晶 体 <eos>
<bos> ai a <eos>,<bos> 体 が <eos>
<bos> a uuu <eos>,<bos> が 映す <eos>
<bos> uuu eai <eos>,<bos> 映す 世界 <eos>
<bos> eai e <eos>,<bos> 世界 で <eos>
<bos> e aai <eos>,<bos> で あたし <eos>
<bos> aai a <eos>,<bos> あたし は <eos>
<bos> a oia <eos>,<bos> は どうにか <eos>
<bos> oia ii <eos>,<bos> どうにか 生き <eos>
<bos> ii e <eos>,<bos> 生き て <eos>
<bos> e i <eos>,<bos> て み <eos>
<bos> i au <eos>,<bos> み たく <eos>
<bos> au e <eos>,<bos> たく て <eos>
<bos> e iaua <eos>,<bos> て ひたすら <eos>
<bos> iaua ooo <eos>,<bos> ひたすら 心 <eos>
<bos> ooo i <eos>,<bos> 心 に <eos>
<bos> o ai <eos>,<bos> を 抱い <eos>
<bos> ai a <eos>,<bos> 抱い た <eos>
<bos> a aai <eos>,<bos> た あたし <eos>
<bos> aai a <eos>,<bos> あたし は <eos>
<bos> a uu <eos>,<bos> は ゆう <eos>
<bos> uu ei <eos>,<bos> ゆう れい <eos>
<bos> ei aaa <eos>,<bos> れい あなた <eos>
<bos> aaa i <eos>,<bos> あなた に <eos>
<bos> i ie <eos>,<bos> に みえ <eos>
<bos> ie ai <eos>,<bos> みえ ない <eos>
<bos> ai io <eos>,<bos> ない ひと <eos>
<bos> io i <eos>,<bos> ひと ひ <eos>
<bos> i a <eos>,<bos> ひ ら <eos>
<bos> a o <eos>,<bos> ら の <eos>
<bos> o ooi <eos>,<bos> の 想い <eos>
<bos> ooi o <eos>,<bos> 想い も <eos>
<bos> o uaaa <eos>,<bos> も 伝わら <eos>
<bos> uaaa ai <eos>,<bos> 伝わら ない <eos>
<bos> ai oeeo <eos>,<bos> ない それでも <eos>
<bos> oeeo ai <eos>,<bos> それでも 愛 <eos>
<bos> ai o <eos>,<bos> 愛 を <eos>
<bos> o aai <eos>,<bos> を あたし <eos>
<bos> aai o <eos>,<bos> あたし の <eos>
<bos> o aae <eos>,<bos> の 名前 <eos>
<bos> aae o <eos>,<bos> 名前 を <eos>
<bos> a a <eos>,<bos> 馬 が <eos>
<bos> a aiu <eos>,<bos> が 走る <eos>
<bos> aiu uoi <eos>,<bos> 走る 黒い <eos>
<bos> uoi auauo <eos>,<bos> 黒い アスファルト <eos>
<bos> auauo o <eos>,<bos> アスファルト の <eos>
<bos> o ue <eos>,<bos> の 上 <eos>
<bos> ue uan <eos>,<bos> 上 荒ん <eos>
<bos> uan a <eos>,<bos> 荒ん だ <eos>
<bos> a aii <eos>,<bos> だ 並木 <eos>
<bos> aii u <eos>,<bos> 並木 風 <eos>
<bos> u o <eos>,<bos> 風 も <eos>
<bos> o ai <eos>,<bos> も なし <eos>
<bos> ai aoi <eos>,<bos> なし 香り <eos>
<bos> aoi au <eos>,<bos> 香り だす <eos>
<bos> au ae <eos>,<bos> だす 雨 <eos>
<bos> ae o <eos>,<bos> 雨 の <eos>
<bos> o eai <eos>,<bos> の 気配 <eos>
<bos> oo a <eos>,<bos> 東京 は <eos>
<bos> a uauo <eos>,<bos> は フラスコ <eos>
<bos> uauo o <eos>,<bos> フラスコ の <eos>
<bos> o aa <eos>,<bos> の 中 <eos>
<bos> aa o <eos>,<bos> 中 の <eos>
<bos> o uei <eos>,<bos> の 風景 <eos>
<bos> uei aoion <eos>,<bos> 風景 迷い込ん <eos>
<bos> aoion e <eos>,<bos> 迷い込ん で <eos>
<bos> e a <eos>,<bos> で は <eos>
<bos> a ai <eos>,<bos> は 泣い <eos>
<bos> ai e <eos>,<bos> 泣い て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a o <eos>,<bos> た の <eos>
<bos> o a <eos>,<bos> の は <eos>
<bos> a oi <eos>,<bos> は 遠い <eos>
<bos> oi oi <eos>,<bos> 遠い 遠い <eos>
<bos> oi uai <eos>,<bos> 遠い 昔 <eos>
<bos> o o <eos>,<bos> 光 の <eos>
<bos> o oi <eos>,<bos> の 澱 <eos>
<bos> oi i <eos>,<bos> 澱 に <eos>
<bos> i iiua <eos>,<bos> に 道草 <eos>
<bos> iiua o <eos>,<bos> 道草 を <eos>
<bos> o aou <eos>,<bos> を 誘う <eos>
<bos> aou oei <eos>,<bos> 誘う 亡霊 <eos>
<bos> oei ooou <eos>,<bos> 亡霊 九つ <eos>
<bos> ooou o <eos>,<bos> 九つ の <eos>
<bos> o on <eos>,<bos> の 門 <eos>
<bos> on o <eos>,<bos> 門 を <eos>
<bos> o oiue <eos>,<bos> を 通り抜け <eos>
<bos> oiue e <eos>,<bos> 通り抜け て <eos>
<bos> e ao <eos>,<bos> て あの <eos>
<bos> ao aa <eos>,<bos> あの 山 <eos>
<bos> aa o <eos>,<bos> 山 の <eos>
<bos> o uoo <eos>,<bos> の 麓 <eos>
<bos> uoo e <eos>,<bos> 麓 へ <eos>
<bos> e o <eos>,<bos> へ と <eos>
<bos> o aato <eos>,<bos> と 空っぽ <eos>
<bos> aato o <eos>,<bos> 空っぽ の <eos>
<bos> o ain <eos>,<bos> の 花瓶 <eos>
<bos> ain i <eos>,<bos> 花瓶 に <eos>
<bos> i ieu <eos>,<bos> に 活ける <eos>
<bos> ieu aa <eos>,<bos> 活ける 花 <eos>
<bos> aa o <eos>,<bos> 花 を <eos>
<bos> o aai <eos>,<bos> を 探し <eos>
<bos> aai e <eos>,<bos> 探し て <eos>
<bos> e iu <eos>,<bos> て いる <eos>
<bos> iu auaii <eos>,<bos> いる 恥ずかしい <eos>
<bos> auaii uai <eos>,<bos> 恥ずかしい くらい <eos>
<bos> uai ii <eos>,<bos> くらい 生き <eos>
<bos> ii ioi <eos>,<bos> 生き 急い <eos>
<bos> ioi e <eos>,<bos> 急い で <eos>
<bos> e i <eos>,<bos> で い <eos>
<bos> i a <eos>,<bos> い た <eos>
<bos> a oi <eos>,<bos> た 遠い <eos>
<bos> oi oi <eos>,<bos> 遠い 遠い <eos>
<bos> oi uai <eos>,<bos> 遠い 昔 <eos>
<bos> uai oeai <eos>,<bos> 昔 お願い <eos>
<bos> oeai aa <eos>,<bos> お願い ママ <eos>
<bos> aa aa <eos>,<bos> ママ パパ <eos>
<bos> aa ooo <eos>,<bos> パパ この世 <eos>
<bos> ooo i <eos>,<bos> この世 に <eos>
<bos> i uae <eos>,<bos> に 生まれ <eos>
<bos> uae a <eos>,<bos> 生まれ た <eos>
<bos> a oo <eos>,<bos> た その <eos>
<bos> oo ii <eos>,<bos> その 意味 <eos>
<bos> ii o <eos>,<bos> 意味 を <eos>
<bos> aa iai <eos>,<bos> バカ みたい <eos>
<bos> iai a <eos>,<bos> みたい な <eos>
<bos> a ue <eos>,<bos> な 夢 <eos>
<bos> ue o <eos>,<bos> 夢 を <eos>
<bos> o aaa <eos>,<bos> を 笑わ <eos>
<bos> aaa ai <eos>,<bos> 笑わ ない <eos>
<bos> ai e <eos>,<bos> ない で <eos>
<bos> e ii <eos>,<bos> で 聞い <eos>
<bos> ii e <eos>,<bos> 聞い て <eos>
<bos> e oii <eos>,<bos> て ほしい <eos>
<bos> oii i <eos>,<bos> ほしい 日 <eos>
<bos> i a <eos>,<bos> 日 が <eos>
<bos> a ueu <eos>,<bos> が 暮れる <eos>
<bos> ueu ae <eos>,<bos> 暮れる 前 <eos>
<bos> ae i <eos>,<bos> 前 に <eos>
<bos> i aai <eos>,<bos> に 話し <eos>
<bos> aai e <eos>,<bos> 話し て <eos>
<bos> e oi <eos>,<bos> て おき <eos>
<bos> oi ai <eos>,<bos> おき たい <eos>
<bos> ai ii <eos>,<bos> たい 君 <eos>
<bos> ii iai <eos>,<bos> 君 みたい <eos>
<bos> iai i <eos>,<bos> みたい に <eos>
<bos> i aaiu <eos>,<bos> に 優しく <eos>
<bos> aaiu ai <eos>,<bos> 優しく なり <eos>
<bos> ai ai <eos>,<bos> なり たい <eos>
<bos> ai ae <eos>,<bos> たい だけ <eos>
<bos> ae iou <eos>,<bos> だけ 祈る <eos>
<bos> iou oe <eos>,<bos> 祈る 声 <eos>
<bos> oe a <eos>,<bos> 声 は <eos>
<bos> a aeiu <eos>,<bos> は 激しく <eos>
<bos> aeiu ao <eos>,<bos> 激しく あと <eos>
<bos> ao uoi <eos>,<bos> あと 少し <eos>
<bos> uoi ae <eos>,<bos> 少し だけ <eos>
<bos> ae ooo <eos>,<bos> だけ 心 <eos>
<bos> ooo o <eos>,<bos> 心 の <eos>
<bos> o oo <eos>,<bos> の 底 <eos>
<bos> oo aa <eos>,<bos> 底 から <eos>
<bos> aa ueau <eos>,<bos> から 触れ合う <eos>
<bos> ueau ae <eos>,<bos> 触れ合う まで <eos>
<bos> ae ii <eos>,<bos> まで 君 <eos>
<bos> ii o <eos>,<bos> 君 と <eos>
<bos> o uaat <eos>,<bos> と 繋がっ <eos>
<bos> uaat e <eos>,<bos> 繋がっ て <eos>
<bos> e i <eos>,<bos> て い <eos>
<bos> i ai <eos>,<bos> い たい <eos>
<bos> ai ae <eos>,<bos> たい だけ <eos>
<bos> uaa e iu <eos>,<bos> くだら ねえ いつ <eos>
<bos> e iu i <eos>,<bos> ねえ いつ に <eos>
<bos> iu i aa <eos>,<bos> いつ に なりゃ <eos>
<bos> i aa oau <eos>,<bos> に なりゃ 終わる <eos>
<bos> ana ii e <eos>,<bos> なんか 死に て <eos>
<bos> ii e e <eos>,<bos> 死に て え <eos>
<bos> e e ioi <eos>,<bos> て え 気持ち <eos>
<bos> e ioi e <eos>,<bos> え 気持ち で <eos>
<bos> ioi e uaua <eos>,<bos> 気持ち で ブラブラ <eos>
<bos> e uaua ua <eos>,<bos> で ブラブラ ブラ <eos>
<bos> uaua ua anen <eos>,<bos> ブラブラ ブラ 残念 <eos>
<bos> ua anen eae <eos>,<bos> ブラ 残念 手前 <eos>
<bos> anen eae a <eos>,<bos> 残念 手前 じゃ <eos>
<bos> eae a oai <eos>,<bos> 手前 じゃ 所在 <eos>
<bos> a oai e <eos>,<bos> じゃ 所在 ね <eos>
<bos> oai e e <eos>,<bos> 所在 ね え <eos>
<bos> o a u <eos>,<bos> の パー う <eos>
<bos> a u e <eos>,<bos> パー う ぜ <eos>
<bos> u e e <eos>,<bos> う ぜ え <eos>
<bos> e e a <eos>,<bos> ぜ え じゃ <eos>
<bos> e a au <eos>,<bos> え じゃ らく <eos>
<bos> a au e <eos>,<bos> じゃ らく へ <eos>
<bos> au e a <eos>,<bos> らく へ た <eos>
<bos> e a ao <eos>,<bos> へ た タコ <eos>
<bos> a ao a <eos>,<bos> た タコ が <eos>
<bos> ao a at <eos>,<bos> タコ が やっ <eos>
<bos> a at e <eos>,<bos> が やっ て <eos>
<bos> at e an <eos>,<bos> やっ て らん <eos>
<bos> e an e <eos>,<bos> て らん ね <eos>
<bos> an e e <eos>,<bos> らん ね え <eos>
<bos> e e oa <eos>,<bos> ね え 与太 <eos>
<bos> e oa ui <eos>,<bos> え 与太 吹き <eos>
<bos> oa ui uaua <eos>,<bos> 与太 吹き ブラブラ <eos>
<bos> ui uaua ua <eos>,<bos> 吹き ブラブラ ブラ <eos>
<bos> uaua ua auen <eos>,<bos> ブラブラ ブラ 悪銭 <eos>
<bos> ua auen aae <eos>,<bos> ブラ 悪銭 抱え <eos>
<bos> auen aae oo <eos>,<bos> 悪銭 抱え どこ <eos>
<bos> aae oo e <eos>,<bos> 抱え どこ へ <eos>
<bos> oo e iu <eos>,<bos> どこ へ 行く <eos>
<bos> ito onaaat e <eos>,<bos> ちっと こんがらがっ て <eos>
<bos> onaaat e e <eos>,<bos> こんがらがっ て 目 <eos>
<bos> e e a <eos>,<bos> て 目 が <eos>
<bos> e a uan <eos>,<bos> 目 が 眩ん <eos>
<bos> a uan a <eos>,<bos> が 眩ん だ <eos>
<bos> uan a ae <eos>,<bos> 眩ん だ だけ <eos>
<bos> a ae a <eos>,<bos> だ だけ な <eos>
<bos> ae a n <eos>,<bos> だけ な ん <eos>
<bos> a n a <eos>,<bos> な ん だ <eos>
<bos> n a a <eos>,<bos> ん だ わ <eos>
<bos> ona etai a <eos>,<bos> そんな けったい な <eos>
<bos> etai a oo <eos>,<bos> けったい な こと <eos>
<bos> a oo ata <eos>,<bos> な こと ばっか <eos>
<bos> oo ata ia <eos>,<bos> こと ばっか 言わ <eos>
<bos> ata ia ne <eos>,<bos> ばっか 言わ んで <eos>
<bos> ia ne oa <eos>,<bos> 言わ んで 容赦 <eos>
<bos> ne oa i <eos>,<bos> んで 容赦 し <eos>
<bos> oa i a <eos>,<bos> 容赦 し た <eos>
<bos> i a te <eos>,<bos> し た って <eos>
<bos> a te a <eos>,<bos> た って や <eos>
<bos> te a a <eos>,<bos> って や あぁ <eos>
<bos> a a i <eos>,<bos> や あぁ 火 <eos>
<bos> a i a <eos>,<bos> あぁ 火 が <eos>
<bos> i a ieu <eos>,<bos> 火 が 消える <eos>
<bos> a ieu i <eos>,<bos> が 消える 火 <eos>
<bos> ieu i a <eos>,<bos> 消える 火 が <eos>
<bos> i a i <eos>,<bos> 火 が 火 <eos>
<bos> a i a <eos>,<bos> が 火 が <eos>
<bos> i a ieu <eos>,<bos> 火 が 消える <eos>
<bos> a ieu oae <eos>,<bos> が 消える 夜明け <eos>
<bos> ieu oae o <eos>,<bos> 消える 夜明け を <eos>
<bos> oae o aa <eos>,<bos> 夜明け を 待た <eos>
<bos> o aa u <eos>,<bos> を 待た ず <eos>
<bos> aaiuei aai a <eos>,<bos> 曲りくねり はしゃい だ <eos>
<bos> aai a ii <eos>,<bos> はしゃい だ 道 <eos>
<bos> a ii aoa <eos>,<bos> だ 道 青葉 <eos>
<bos> ii aoa o <eos>,<bos> 道 青葉 の <eos>
<bos> aoa o oi <eos>,<bos> 青葉 の 森 <eos>
<bos> o oi e <eos>,<bos> の 森 で <eos>
<bos> oi e aeaau <eos>,<bos> 森 で 駆け回る <eos>
<bos> e aeaau aoi <eos>,<bos> で 駆け回る 遊び <eos>
<bos> aeaau aoi aai <eos>,<bos> 駆け回る 遊び まわり <eos>
<bos> aoi aai iai <eos>,<bos> 遊び まわり 日差し <eos>
<bos> aai iai o <eos>,<bos> まわり 日差し の <eos>
<bos> iai o ai <eos>,<bos> 日差し の 街 <eos>
<bos> o ai aea <eos>,<bos> の 街 誰か <eos>
<bos> ai aea a <eos>,<bos> 街 誰か が <eos>
<bos> aea a on <eos>,<bos> 誰か が 呼ん <eos>
<bos> a on e <eos>,<bos> が 呼ん で <eos>
<bos> on e iu <eos>,<bos> 呼ん で いる <eos>
<bos> e iu au <eos>,<bos> で いる 夏 <eos>
<bos> iu au a <eos>,<bos> いる 夏 が <eos>
<bos> au a uu <eos>,<bos> 夏 が 来る <eos>
<bos> a uu ae <eos>,<bos> が 来る 影 <eos>
<bos> uu ae a <eos>,<bos> 来る 影 が <eos>
<bos> ae a au <eos>,<bos> 影 が 立つ <eos>
<bos> a au aaa <eos>,<bos> が 立つ あなた <eos>
<bos> au aaa i <eos>,<bos> 立つ あなた に <eos>
<bos> aaa i ai <eos>,<bos> あなた に 会い <eos>
<bos> i ai ai <eos>,<bos> に 会い たい <eos>
<bos> ai ai iue <eos>,<bos> 会い たい 見つけ <eos>
<bos> ai iue a <eos>,<bos> たい 見つけ た <eos>
<bos> iue a o <eos>,<bos> 見つけ た の <eos>
<bos> a o a <eos>,<bos> た の は <eos>
<bos> o a iian <eos>,<bos> の は いちばん <eos>
<bos> a iian oi <eos>,<bos> は いちばん 星 <eos>
<bos> iian oi aia <eos>,<bos> いちばん 星 明日 <eos>
<bos> oi aia o <eos>,<bos> 星 明日 も <eos>
<bos> aia o aeu <eos>,<bos> 明日 も 晴れる <eos>
<bos> o aeu a <eos>,<bos> も 晴れる か <eos>
<bos> aeu a a <eos>,<bos> 晴れる か な <eos>
<bos> a a auia <eos>,<bos> か な パプリカ <eos>
<bos> a auia aa <eos>,<bos> な パプリカ 花 <eos>
<bos> auia aa a <eos>,<bos> パプリカ 花 が <eos>
<bos> aa a ai <eos>,<bos> 花 が 咲い <eos>
<bos> a ai aa <eos>,<bos> が 咲い たら <eos>
<bos> ai aa ae <eos>,<bos> 咲い たら 晴れ <eos>
<bos> aa ae a <eos>,<bos> たら 晴れ た <eos>
<bos> ae a oa <eos>,<bos> 晴れ た 空 <eos>
<bos> a oa i <eos>,<bos> た 空 に <eos>
<bos> oa i ae <eos>,<bos> 空 に 種 <eos>
<bos> i ae o <eos>,<bos> に 種 を <eos>
<bos> ae o ao <eos>,<bos> 種 を 蒔こ <eos>
<bos> o ao u <eos>,<bos> を 蒔こ う <eos>
<bos> ao u aeua <eos>,<bos> 蒔こ う ハレルヤ <eos>
<bos> u aeua ue <eos>,<bos> う ハレルヤ 夢 <eos>
<bos> aeua ue o <eos>,<bos> ハレルヤ 夢 を <eos>
<bos> ue o eai <eos>,<bos> 夢 を 描い <eos>
<bos> o eai a <eos>,<bos> を 描い た <eos>
<bos> eai a aa <eos>,<bos> 描い た なら <eos>
<bos> a aa ooo <eos>,<bos> た なら 心 <eos>
<bos> aa ooo aoa <eos>,<bos> なら 心 遊ば <eos>
<bos> ooo aoa e <eos>,<bos> 心 遊ば せ <eos>
<bos> aoa e aaa <eos>,<bos> 遊ば せ あなた <eos>
<bos> e aaa i <eos>,<bos> せ あなた に <eos>
<bos> aaa i ooe <eos>,<bos> あなた に とどけ <eos>
<bos> uto uto uto <eos>,<bos> ずっと ずっと ずっと <eos>
<bos> uto uto oi <eos>,<bos> ずっと ずっと 恋 <eos>
<bos> uto oi o <eos>,<bos> ずっと 恋 を <eos>
<bos> oi o i <eos>,<bos> 恋 を し <eos>
<bos> o i e <eos>,<bos> を し て <eos>
<bos> i e i <eos>,<bos> し て い <eos>
<bos> e i a <eos>,<bos> て い た <eos>
<bos> i a oe <eos>,<bos> い た これ <eos>
<bos> a oe e <eos>,<bos> た これ で <eos>
<bos> oe e aoaa <eos>,<bos> これ で さよなら <eos>
<bos> e aoaa aaa <eos>,<bos> で さよなら あなた <eos>
<bos> aoaa aaa o <eos>,<bos> さよなら あなた の <eos>
<bos> aaa o oo <eos>,<bos> あなた の こと <eos>
<bos> o oo a <eos>,<bos> の こと が <eos>
<bos> oo a ai <eos>,<bos> こと が 何 <eos>
<bos> a ai oi <eos>,<bos> が 何 より <eos>
<bos> ai oi o <eos>,<bos> 何 より も <eos>
<bos> oi o aieu <eos>,<bos> より も 大切 <eos>
<bos> o aieu ei <eos>,<bos> も 大切 でし <eos>
<bos> aieu ei a <eos>,<bos> 大切 でし た <eos>
<bos> ei a ooi <eos>,<bos> でし た 望み <eos>
<bos> a ooi oi <eos>,<bos> た 望み 通り <eos>
<bos> ooi oi o <eos>,<bos> 望み 通り の <eos>
<bos> oi o oai <eos>,<bos> 通り の 終わり <eos>
<bos> o oai i <eos>,<bos> の 終わり じ <eos>
<bos> ooai i ua <eos>,<bos> 友達 に すら <eos>
